question,y_true,rf_pred,lr_pred,baseline_score,rf_abs_error,lr_abs_error
i want leggings that have a 23-inch inseam and a pink floral design.,2.0,2.0143559403559403,1.7509299890784575,2,0.014355940355940344,0.24907001092154246
i want leggings that are fleece-lined and keep me warm in winter.,2.0,2.008290598290598,1.9998420723450678,1,0.008290598290598084,0.0001579276549321662
i want leggings that are fleece-lined and keep me warm in winter.,2.0,2.692872884482792,2.3604301482763006,1,0.6928728844827918,0.3604301482763006
i want leggings that are plaid with a waist that stretches from 33 to 45 inches.,3.0,2.3996595904095908,1.6328266579796775,4,0.6003404095904092,1.3671733420203225
i want leggings that are plaid and fit waist sizes between 25 and 38 inches.,1.0,1.6610992803492803,28.872583872475875,1,0.6610992803492803,27.872583872475875
i want leggings that are plaid with a waist that stretches from 33 to 45 inches.,2.0,2.139128174457122,2.9534028513530686,1,0.139128174457122,0.9534028513530686
i want leggings that are fleece-lined and come in sizes 1x/2x.,2.0,2.436174502512739,5.859634867414954,1,0.4361745025127388,3.859634867414954
i want leggings that have a 23-inch inseam and a pink floral design.,2.0,2.183592412217412,17.395496716522068,1,0.18359241221741218,15.395496716522068
i want leggings that are black and floral with an 11-inch rise.,2.0,2.011833333333333,1.9147202119474187,1,0.01183333333333314,0.0852797880525813
i want leggings with a side stripe and made from faux leather.,4.0,2.192780164380397,16.614821561802614,1,1.8072198356196032,12.614821561802614
i want leggings that have a 15-inch waist measurement and are flat-lay.,2.0,2.0016666666666665,1.771100915789745,1,0.0016666666666664831,0.22889908421025495
i want leggings that are pleather with an elastic waist and are soft-lined.,4.0,3.5153464174714184,3.606946259542447,3,0.4846535825285816,0.39305374045755315
i want leggings that are fleece-lined and come in sizes 1x/2x.,2.0,2.108535292594116,1.8416854147477864,1,0.10853529259411587,0.15831458525221365
"i want leggings that are nylon and elastane, black with a white stripe.",2.0,2.062421291671292,12.851603325500484,1,0.06242129167129207,10.851603325500484
"i want leggings that are stretchy, plaid, and ultra-soft.",3.0,2.256430534879065,-0.24445522891371496,2,0.743569465120935,3.244455228913715
i want leggings that are black and floral with an 11-inch rise.,2.0,2.069026635401636,2.109373209581065,1,0.06902663540163578,0.10937320958106511
i want leggings that are fleece-lined and made of 95% poly and 5% spandex.,3.0,2.164957810707811,1.7224586385704654,1,0.8350421892921891,1.2775413614295346
i want leggings that are black and floral with an 11-inch rise.,2.0,2.147022437257732,1.8413708516550145,1,0.147022437257732,0.15862914834498554
i want leggings that are black with an 11.75-inch rise and a skinny fit.,2.0,2.059504329004329,2.274564712594504,2,0.059504329004329115,0.2745647125945041
i want leggings that have a skinny leg cut and a non-adjustable waist.,2.0,2.2505221260221258,3.472909105718898,1,0.25052212602212576,1.472909105718898
i want leggings that have a 23-inch inseam and a pink floral design.,2.0,2.213805888555888,11.19016061054873,1,0.21380588855588778,9.19016061054873
i want leggings that are black and pink floral with an 11-inch rise.,2.0,1.9957962962962965,2.014815253676659,2,0.0042037037037034874,0.014815253676658813
i want leggings that are black with a white stripe and machine washable.,2.0,2.0862693602693607,1.697613787557522,1,0.08626936026936072,0.3023862124424781
i want leggings that have a 23-inch inseam and a pink floral design.,2.0,2.0,1.854304123662338,1,0.0,0.1456958763376619
i want leggings that are plaid and ultra-soft with a 1-inch elastic waistband.,2.0,2.0872314575402804,3.4386448150198774,2,0.08723145754028039,1.4386448150198774
i want leggings that are plaid and ultra-soft with a 1-inch elastic waistband.,3.0,2.1467486473221764,2.4690973695273186,2,0.8532513526778236,0.5309026304726814
i want leggings with a side stripe and made from faux leather.,2.0,2.5205421871873117,2.7818893163657705,1,0.5205421871873117,0.7818893163657705
"i want leggings that are nylon and elastane, black with a white stripe.",2.0,2.143709033169559,1.2528473868287975,1,0.14370903316955896,0.7471526131712025
"i want leggings that are stretchy, plaid, and ultra-soft.",2.0,2.280972387906211,2.662936618615369,2,0.28097238790621093,0.6629366186153689
"i want leggings that are stretchy, plaid, and ultra-soft.",4.0,2.6097537348272644,2.906140974348837,1,1.3902462651727356,1.093859025651163
i want leggings that have a skinny leg cut and a non-adjustable waist.,2.0,2.1417966292966293,1.4739557986447522,1,0.14179662929662928,0.5260442013552478
i want leggings with a side stripe and made from faux leather.,2.0,2.114791924850748,2.487946632562398,1,0.11479192485074785,0.487946632562398
i want leggings that are fleece-lined and come in sizes 1x/2x.,4.0,3.214015032109845,3.438858944037243,1,0.7859849678901552,0.5611410559627572
i want leggings that are in good condition and soft-lined with an elastic waist.,3.0,3.3830889249639258,3.088947849358938,1,0.38308892496392577,0.08894784935893796
i want leggings that are black with a white stripe and machine washable.,3.0,2.232308469308469,5.583135517782139,1,0.7676915306915308,2.5831355177821393
i want leggings that are black and pink floral with an 11-inch rise.,3.0,2.6767511297325552,6.69719564383297,2,0.32324887026744475,3.69719564383297
i want leggings that are plaid with a waist that stretches from 33 to 45 inches.,2.0,2.041916666666666,-0.45663693944225514,1,0.041916666666665936,2.456636939442255
i want leggings that are black with a 14.5-inch waist and have a pull-on style.,2.0,2.3639506577300686,2.8347841054191534,1,0.3639506577300686,0.8347841054191534
"i want leggings that are stretchy, plaid, and ultra-soft.",2.0,2.0990262058203233,2.000736328192012,1,0.09902620582032329,0.0007363281920120812
i want leggings that are pleather with an elastic waist and are soft-lined.,4.0,2.8084165232199285,7.349889097769179,1,1.1915834767800715,3.3498890977691786
i want leggings that have a skinny leg cut and a non-adjustable waist.,2.0,2.0722093554593553,2.6428428643799506,1,0.07220935545935525,0.6428428643799506
i want leggings that are pleather with an elastic waist and are soft-lined.,3.0,2.956772365978248,2.687724572363031,2,0.04322763402175189,0.312275427636969
i want leggings that have a skinny leg cut and a non-adjustable waist.,2.0,2.389753680286576,3.1293926781690544,1,0.3897536802865762,1.1293926781690544
"i want leggings that are nylon and elastane, black with a white stripe.",2.0,1.6836180260371438,2.226521492153509,1,0.31638197396285617,0.22652149215350903
i want leggings that are fleece-lined and made of 95% poly and 5% spandex.,2.0,2.285866735388794,1.867752823450708,1,0.2858667353887938,0.13224717654929208
i want leggings that are fleece-lined and made of 95% poly and 5% spandex.,3.0,2.5377487553296376,2.472392776762888,3,0.4622512446703624,0.5276072232371121
"i want leggings that are stretchy, plaid, and ultra-soft.",2.0,2.862107972093266,4.2549748296545715,1,0.8621079720932658,2.2549748296545715
i want leggings that are fleece-lined and come in sizes 1x/2x.,3.0,2.6305934231174173,2.840571712173066,1,0.3694065768825827,0.15942828782693397
i want leggings that are plaid and fit waist sizes between 25 and 38 inches.,2.0,2.131839329243742,1.9999845693120264,1,0.13183932924374187,1.5430687973605473e-05
i want leggings that have a 15-inch waist measurement and are flat-lay.,2.0,2.0219233193277306,-5.036190150095962,1,0.021923319327730617,7.036190150095962
i want leggings that are black with a 14.5-inch waist and have a pull-on style.,2.0,2.064954064454065,1.6487346863833778,1,0.06495406445406493,0.35126531361662217
i want leggings that are black and floral with an 11-inch rise.,2.0,2.0412180134680136,1.0272071567165284,2,0.04121801346801357,0.9727928432834716
i want leggings that are fleece-lined and made of 95% poly and 5% spandex.,2.0,2.4037310744810747,2.2019482314259093,2,0.4037310744810747,0.20194823142590934
i want leggings that are black with a 14.5-inch waist and have a pull-on style.,2.0,2.07841810966811,5.584180847654309,1,0.0784181096681098,3.5841808476543093
i want leggings that are in excellent condition and have a 25.5-inch waist.,2.0,2.1222338494838495,15.263399979215833,2,0.12223384948384952,13.263399979215833
i want leggings that are in excellent condition and have a 25.5-inch waist.,2.0,2.002380952380953,1.8558351834008135,2,0.0023809523809528166,0.14416481659918645
i want leggings that are fleece-lined and come in sizes 1x/2x.,2.0,3.1407355105478176,2.622740281026026,1,1.1407355105478176,0.6227402810260259
i want leggings that are in excellent condition and have a 25.5-inch waist.,3.0,2.146631493506493,2.4005255407153285,1,0.8533685064935068,0.5994744592846715
i want leggings that are plaid and ultra-soft with a 1-inch elastic waistband.,3.0,2.1717247474747476,2.021770033089382,1,0.8282752525252524,0.978229966910618
i want leggings that have a 15-inch waist measurement and are flat-lay.,2.0,2.0577936507936507,18.343931347746107,1,0.05779365079365073,16.343931347746107
i want leggings that are fleece-lined and made of 95% poly and 5% spandex.,1.0,2.122262334887335,14.680343607725298,1,1.1222623348873348,13.680343607725298
i want leggings that are pleather with an elastic waist and are soft-lined.,4.0,3.549139485514485,2.0438254846811788,1,0.4508605144855151,1.9561745153188212
i want leggings that have a 23-inch inseam and a pink floral design.,2.0,2.2704764309764305,2.457230813996304,1,0.2704764309764305,0.45723081399630416
i want leggings that are plaid and ultra-soft with a 1-inch elastic waistband.,3.0,2.459415908165909,-5.8698129363602405,2,0.540584091834091,8.86981293636024
i want leggings that are fleece-lined and come in sizes 1x/2x.,4.0,2.7085154749934177,3.682948935772906,1,1.2914845250065823,0.31705106422709406
i want leggings that are plaid with a waist that stretches from 33 to 45 inches.,2.0,2.0451862998112995,1.9305501978780768,1,0.04518629981129951,0.0694498021219232
i want leggings that are plaid with a waist that stretches from 33 to 45 inches.,2.0,2.440732128982128,1.6811828529311512,1,0.4407321289821282,0.3188171470688488
i want leggings that are black and floral with an 11-inch rise.,2.0,2.038420126170126,2.4801349037307645,2,0.0384201261701258,0.4801349037307645
i want leggings that are pleather with an elastic waist and are soft-lined.,2.0,2.4095342391812977,2.0003240384421943,1,0.4095342391812977,0.00032403844219430766
i want leggings that have a 23-inch inseam and a pink floral design.,2.0,1.9673333333333327,4.706609606638345,1,0.03266666666666729,2.706609606638345
i want leggings with a side stripe and made from faux leather.,3.0,2.0208158263305322,2.203118296796788,1,0.9791841736694678,0.796881703203212
i want leggings that are in good condition and soft-lined with an elastic waist.,3.0,2.9729618322853617,2.385552113044632,2,0.027038167714638295,0.614447886955368
i want leggings that are black with a 14.5-inch waist and have a pull-on style.,2.0,2.0016666666666665,1.900875205159771,1,0.0016666666666664831,0.09912479484022896
i want leggings that are fleece-lined and keep me warm in winter.,2.0,2.5657477198727205,2.370237242788022,1,0.5657477198727205,0.37023724278802206
i want leggings that are fleece-lined and made of 95% poly and 5% spandex.,2.0,2.5810123079534852,2.3342397262103916,2,0.5810123079534852,0.33423972621039155
i want leggings that are fleece-lined and made of 95% poly and 5% spandex.,2.0,2.151537123007711,2.0281082937698756,1,0.15153712300771094,0.02810829376987556
i want leggings that are plaid with a waist that stretches from 33 to 45 inches.,2.0,2.225561377620201,2.0747125376123776,2,0.2255613776202008,0.07471253761237762
i want leggings that are in excellent condition and have a 25.5-inch waist.,3.0,2.1443427498427496,1.9550799671559815,1,0.8556572501572504,1.0449200328440185
i want leggings that are black with a 14.5-inch waist and have a pull-on style.,2.0,2.0597746295099237,-3.582376241887708,1,0.05977462950992374,5.582376241887708
i want leggings that have a skinny leg cut and a non-adjustable waist.,2.0,2.0613094868094866,0.7078256774888132,1,0.06130948680948656,1.2921743225111868
i want leggings that are plaid with a waist that stretches from 33 to 45 inches.,2.0,2.0131111111111113,1.9767323031860684,1,0.013111111111111295,0.023267696813931593
i want leggings that are pleather with an elastic waist and are soft-lined.,3.0,3.012336632321928,3.3769598733136164,2,0.012336632321928054,0.37695987331361636
i want leggings that are fleece-lined and made of 95% poly and 5% spandex.,2.0,2.3517741906070078,13.93433501251591,2,0.35177419060700776,11.93433501251591
i want leggings that are pleather with an elastic waist and are soft-lined.,4.0,3.7204889633786693,5.364745457864402,2,0.2795110366213307,1.3647454578644016
i want leggings that have a skinny leg cut and a non-adjustable waist.,2.0,2.2929468216968214,2.8572346289282606,1,0.2929468216968214,0.8572346289282606
