question,y_true,rf_pred,lr_pred,baseline_score,rf_abs_error,lr_abs_error
i want leggings that are fleece-lined and keep me warm in winter.,5.0,2.894569182408578,7.529373839728088,5,2.105430817591422,2.5293738397280876
i want leggings with a side stripe and made from faux leather.,4.0,2.192780164380397,16.614821561802614,1,1.8072198356196032,12.614821561802614
"i want leggings that are stretchy, plaid, and ultra-soft.",4.0,2.6097537348272644,2.906140974348837,1,1.3902462651727356,1.093859025651163
i want leggings that are fleece-lined and come in sizes 1x/2x.,4.0,2.7085154749934177,3.682948935772906,1,1.2914845250065823,0.31705106422709406
i want leggings that are pleather with an elastic waist and are soft-lined.,4.0,2.8084165232199285,7.349889097769179,1,1.1915834767800715,3.3498890977691786
i want leggings that are fleece-lined and come in sizes 1x/2x.,2.0,3.1407355105478176,2.622740281026026,1,1.1407355105478176,0.6227402810260259
i want leggings that are fleece-lined and made of 95% poly and 5% spandex.,1.0,2.122262334887335,14.680343607725298,1,1.1222623348873348,13.680343607725298
i want leggings with a side stripe and made from faux leather.,3.0,2.0208158263305322,2.203118296796788,1,0.9791841736694678,0.796881703203212
i want leggings that are pleather with an elastic waist and are soft-lined.,2.0,2.955500142286907,2.6949436913114226,2,0.9555001422869069,0.6949436913114226
i want leggings that are black with a white stripe and machine washable.,3.0,2.115596325243384,1.926886090430024,1,0.8844036747566162,1.073113909569976
i want leggings that are pleather with an elastic waist and are soft-lined.,2.0,2.870945246746718,2.8423119566594224,1,0.870945246746718,0.8423119566594224
"i want leggings that are stretchy, plaid, and ultra-soft.",2.0,2.862107972093266,4.2549748296545715,1,0.8621079720932658,2.2549748296545715
i want leggings that are in excellent condition and have a 25.5-inch waist.,3.0,2.1443427498427496,1.9550799671559815,1,0.8556572501572504,1.0449200328440185
i want leggings that are in excellent condition and have a 25.5-inch waist.,3.0,2.146631493506493,2.4005255407153285,1,0.8533685064935068,0.5994744592846715
i want leggings that are plaid and ultra-soft with a 1-inch elastic waistband.,3.0,2.1467486473221764,2.4690973695273186,2,0.8532513526778236,0.5309026304726814
i want leggings that are fleece-lined and made of 95% poly and 5% spandex.,3.0,2.164957810707811,1.7224586385704654,1,0.8350421892921891,1.2775413614295346
i want leggings that are plaid and ultra-soft with a 1-inch elastic waistband.,3.0,2.1717247474747476,2.021770033089382,1,0.8282752525252524,0.978229966910618
i want leggings that are fleece-lined and come in sizes 1x/2x.,4.0,3.214015032109845,3.438858944037243,1,0.7859849678901552,0.5611410559627572
i want leggings that are black with a white stripe and machine washable.,3.0,2.232308469308469,5.583135517782139,1,0.7676915306915308,2.5831355177821393
"i want leggings that are stretchy, plaid, and ultra-soft.",3.0,2.256430534879065,-0.24445522891371496,2,0.743569465120935,3.244455228913715
